Response ID,RespondantKey,Date Started,Date Finished,Status,Linked From,Comments,Country,Region,City,,econ_1949,econ_1953,econ_1957,econ_1961,econ_1965,econ_1969,econ_1973,econ_1977,econ_1981,econ_1985,econ_1989,econ_1993,econ_1997,econ_2001,econ_2005,econ_2009,econ_2013,econ_2017,econ_2021,econ_2025,econ_2029,econ_2033,econ_2037,econ_2041,econ_2045,Year 1,Year 2,Year 3,Year 4,pink,red,green,white,black,blue,,
77158791,0,4/3/2010 22:46,4/3/2010 23:33,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Connecticut,Naugatuck,1022_years,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,20,20,40,,,,,,blue,,77158791
77159179,0,4/3/2010 22:52,4/3/2010 23:28,Submitted,,,United States,Missouri,Jefferson City,1022_years,3,2,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,2,3,3,2,2,1,2,3,25,15,35,25,,,,,,blue,Very interesting. Thank you.,77159179
77159489,0,4/3/2010 22:58,4/3/2010 23:25,Submitted,,,United States,North Carolina,Charlotte,1022_years,4,3,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3,3,3,3,3,2,2,4,25,25,25,25,,,green,,black,,"kinda intersting, but a bit confusing. had to really look at the side scale verses the bottom scale after reading the question. Maybe put the question at the top and leave the answers at the bottom next time to help break up the look",77159489
77161034,0,4/3/2010 23:25,4/3/2010 23:40,Submitted,,,United States,North Carolina,Charlotte,1022_years,3,2,3,3,3,3,3,3,3,3,4,3,3,3,4,4,3,2,4,4,3,2,1,2,3,25,25,25,25,,,green,,black,,,77161034
77161370,0,4/3/2010 23:31,4/3/2010 23:47,Submitted,,,United States,Iowa,Conrad,1022_years,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,4,25,25,25,25,,,green,,black,,,77161370
77163482,0,4/4/2010 0:11,4/4/2010 0:18,Submitted,,,United States,Arizona,Sierra Vista,1022_years,2,4,4,4,2,4,4,4,2,3,3,2,4,4,4,1,4,4,3,1,2,4,1,2,3,25,25,25,25,pink,,,,,,,77163482
77166120,0,4/4/2010 1:06,4/4/2010 1:12,Submitted,,,United States,Nevada,Reno,1022_years,3,2,3,3,3,3,3,4,3,4,4,3,3,3,4,3,4,3,4,4,2,2,1,2,3,25,25,25,25,,,green,,black,,,77166120
77166418,0,4/4/2010 1:13,4/4/2010 1:21,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Texas,San Antonio,1022_years,4,3,4,2,3,3,3,4,4,3,4,4,3,3,4,3,3,3,4,3,4,3,2,2,3,25,25,25,25,,,green,,black,,,77166418
77185174,0,4/4/2010 5:29,4/4/2010 5:36,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,California,Palmdale,1022_years,3,1,2,4,2,4,4,4,1,3,2,2,4,4,4,4,4,3,2,1,2,2,1,2,3,25,25,25,25,,,,,,blue,,77185174
77238214,0,4/4/2010 12:44,4/4/2010 12:51,Saved,,,United States,Florida,Orlando,1022_years,2,1,2,3,1,3,2,3,1,2,3,2,2,3,1,3,3,3,2,1,2,1,1,2,3,25,25,25,25,,,,,,blue,,
